p,l,d,W
0E+00,3E-01,4E+01,1.42118E+00
0E+00,3E-01,4.5E+01,1.42854E+00
0E+00,3E-01,5E+01,1.43483E+00
0E+00,3E-01,6E+01,1.44487E+00
0E+00,3E-01,7E+01,1.45255E+00
0E+00,3E-01,8E+01,1.45861E+00
0E+00,3E-01,9E+01,1.46353E+00
0E+00,3E-01,1E+02,1.46986E+00
0E+00,3E-01,1.2E+02,1.47588E+00
0E+00,3E-01,1.4E+02,1.47953E+00
0E+00,3E-01,1.6E+02,1.48201E+00
0E+00,3E-01,1.8E+02,1.48394E+00
0E+00,3E-01,2E+02,1.48558E+00
0E+00,3E-01,3E+02,1.49175E+00
0E+00,3E-01,4E+02,1.49601E+00
0E+00,3E-01,5E+02,1.499E+00
0E+00,3E-01,1E+03,1.50547E+00
0E+00,4E-01,0E+00,8.33921E-01
0E+00,4E-01,1E-05,8.33922E-01
0E+00,4E-01,1E-04,8.33932E-01
0E+00,4E-01,1E-03,8.34029E-01
0E+00,4E-01,1E-02,8.34998E-01
0E+00,4E-01,1E-01,8.44785E-01
0E+00,4E-01,2E-01,8.56426E-01
0E+00,4E-01,3E-01,8.68049E-01
0E+00,4E-01,4E-01,8.7939E-01
0E+00,4E-01,5E-01,8.90224E-01
0E+00,4E-01,6E-01,9.00442E-01
0E+00,4E-01,7E-01,9.10229E-01
0E+00,4E-01,8E-01,9.19784E-01
0E+00,4E-01,9E-01,9.29277E-01
0E+00,4E-01,1E+00,9.38848E-01
0E+00,4E-01,2E+00,1.0214E+00
0E+00,4E-01,3E+00,1.08093E+00
0E+00,4E-01,4E+00,1.12519E+00
0E+00,4E-01,5E+00,1.1589E+00
0E+00,4E-01,6E+00,1.18584E+00
0E+00,4E-01,7E+00,1.20834E+00
0E+00,4E-01,8E+00,1.22759E+00
0E+00,4E-01,9E+00,1.24438E+00
0E+00,4E-01,1E+01,1.25931E+00
0E+00,4E-01,1.2E+01,1.2843E+00
0E+00,4E-01,1.4E+01,1.30271E+00
0E+00,4E-01,1.6E+01,1.3165E+00
0E+00,4E-01,1.8E+01,1.32732E+00
0E+00,4E-01,2E+01,1.33629E+00
0E+00,4E-01,2.5E+01,1.35426E+00
0E+00,4E-01,3E+01,1.36858E+00
0E+00,4E-01,3.5E+01,1.38062E+00
0E+00,4E-01,4E+01,1.39092E+00
0E+00,4E-01,4.5E+01,1.39987E+00
0E+00,4E-01,5E+01,1.40765E+00
0E+00,4E-01,6E+01,1.4204E+00
0E+00,4E-01,7E+01,1.43047E+00
0E+00,4E-01,8E+01,1.43861E+00
0E+00,4E-01,9E+01,1.44531E+00
0E+00,4E-01,1E+02,1.45205E+00
0E+00,4E-01,1.2E+02,1.46022E+00
0E+00,4E-01,1.4E+02,1.46519E+00
0E+00,4E-01,1.6E+02,1.46857E+00
0E+00,4E-01,1.8E+02,1.47121E+00
0E+00,4E-01,2E+02,1.47343E+00
0E+00,4E-01,3E+02,1.48173E+00
0E+00,4E-01,4E+02,1.48742E+00
0E+00,4E-01,5E+02,1.49141E+00
0E+00,4E-01,1E+03,1.50011E+00
0E+00,5E-01,0E+00,8.01E-01
0E+00,5E-01,1E-05,8.01001E-01
0E+00,5E-01,1E-04,8.01011E-01
0E+00,5E-01,1E-03,8.0111E-01
0E+00,5E-01,1E-02,8.02101E-01
0E+00,5E-01,1E-01,8.12E-01
0E+00,5E-01,2E-01,8.23134E-01
0E+00,5E-01,3E-01,8.34105E-01
0E+00,5E-01,4E-01,8.44766E-01
0E+00,5E-01,5E-01,8.55E-01
0E+00,5E-01,6E-01,8.64772E-01
0E+00,5E-01,7E-01,8.74227E-01
0E+00,5E-01,8E-01,8.83509E-01
0E+00,5E-01,9E-01,8.92735E-01
0E+00,5E-01,1E+00,9.02E-01
0E+00,5E-01,2E+00,9.81E-01
0E+00,5E-01,3E+00,1.03879E+00
0E+00,5E-01,4E+00,1.08281E+00
0E+00,5E-01,5E+00,1.117E+00
0E+00,5E-01,6E+00,1.14454E+00
0E+00,5E-01,7E+00,1.16759E+00
0E+00,5E-01,8E+00,1.18734E+00
0E+00,5E-01,9E+00,1.2046E+00
0E+00,5E-01,1E+01,1.22E+00
0E+00,5E-01,1.2E+01,1.24598E+00
0E+00,5E-01,1.4E+01,1.26541E+00
